13	J	3362
11	R	3362
11	J	3377
9	R	3377
9	J	3392
13	R	3392
13	J	3407
11	R	3407
11	J	3422
9	R	3422
9	J	3437
13	R	3437
13	J	3452
11	R	3452
11	J	3467
9	R	3467
9	J	3482
13	R	3482
13	J	3497
11	R	3497
11	J	3512
9	R	3512
9	J	3527
13	R	3527
13	J	3542
11	R	3542
11	J	3557
9	R	3557
9	J	3572
13	R	3572
13	J	3587
11	R	3587
11	J	3602
9	R	3602
9	J	3617
13	R	3617
13	J	3632
11	R	3632
11	J	3647
9	R	3647
9	J	3662
13	R	3662
13	J	3677
11	R	3677
11	J	3692
9	R	3692
9	J	3707
13	R	3707
13	J	3722
11	R	3722
11	J	3737
9	R	3737
9	J	3752
13	R	3752
13	J	3767
11	R	3767
11	J	3782
9	R	3782
9	J	3797
13	R	3797
13	J	3812
11	R	3812
11	J	3827
9	R	3827
9	J	3842
13	R	3842
13	J	3857
11	R	3857
11	J	3872
9	R	3872
9	J	3887
13	R	3887
13	J	3902
11	R	3902
11	J	3917
9	R	3917
9	J	3932
13	R	3932
13	J	3947
11	R	3947
11	J	3962
9	R	3962
9	J	3977
13	R	3977
13	J	3992
11	R	3992
11	J	4007
9	R	4007
9	J	4022
13	R	4022
13	J	4037
11	R	4037
11	J	4052
9	R	4052
9	J	4067
13	R	4067
13	J	4082
11	R	4082
11	J	4097
9	R	4097
9	J	4112
13	R	4112
13	J	4127
11	R	4127
11	J	4142
9	R	4142
9	J	4157
13	R	4157
13	J	4172
11	R	4172
11	J	4187
9	R	4187
9	J	4202
13	R	4202
13	J	4217
11	R	4217
11	J	4232
9	R	4232
9	J	4247
13	R	4247
13	J	4262
11	R	4262
11	J	4277
9	R	4277
9	J	4292
13	R	4292
13	J	4307
11	R	4307
11	J	4322
9	R	4322
9	J	4337
13	R	4337
13	J	4352
11	R	4352
11	J	4367
9	R	4367
9	J	4382
13	R	4382
13	J	4397
11	R	4397
11	J	4412
9	R	4412
9	J	4427
13	R	4427
13	J	4442
11	R	4442
11	J	4457
9	R	4457
9	J	4472
13	R	4472
13	J	4487
11	R	4487
11	J	4502
9	R	4502
9	J	4517
13	R	4517
13	J	4532
11	R	4532
11	J	4547
9	R	4547
9	J	4562
13	R	4562
13	J	4577
11	R	4577
11	J	4592
9	R	4592
9	J	4607
13	R	4607
13	J	4622
11	R	4622
11	J	4637
9	R	4637
9	J	4652
13	R	4652
13	J	4667
11	R	4667
11	J	4682
9	R	4682
9	J	4697
13	R	4697
13	J	4712
11	R	4712
11	J	4727
9	R	4727
9	J	4742
13	R	4742
13	J	4757
11	R	4757
11	J	4772
9	R	4772
9	J	4787
13	R	4787
13	J	4802
11	R	4802
11	J	4817
9	R	4817
9	J	4832
13	R	4832
13	J	4847
11	R	4847
11	J	4862
9	R	4862
9	J	4877
13	R	4877
13	J	4892
11	R	4892
11	J	4907
9	R	4907
9	J	4922
13	R	4922
13	J	4937
11	R	4937
11	J	4952
9	R	4952
9	J	4967
13	R	4967
13	J	4982
11	R	4982
11	J	4997
9	R	4997
9	J	5012
13	R	5012
13	E	5022
8	J	5022
8	R	5022
8	W	5022
11	R	5023
11	E	5033
8	J	5033
8	R	5033
8	W	5033
9	R	5034
9	E	5044
8	J	5044
8	R	5044
8	E	5045
4	J	5045
4	R	5045
14	N	5046
14	J	5047
4	W	5047
14	R	5047
4	J	5050
14	E	5050
4	R	5050
4	W	5051
0	R	5051
3	J	6088
3	R	6088
